Archivo,Variable,count,mean,std,min,25%,50%,75%,max
dim_equipos.csv,Identificador_Equipo,29.0,548668.2413793104,224756.01969542998,195979.0,355455.0,521462.0,692733.0,965317.0
dim_equipos.csv,Año_Instalación,29.0,2018.7586206896551,2.2937052434526897,2016.0,2017.0,2019.0,2021.0,2023.0
dim_sensores.csv,Identificador_Sensor,232.0,5384240.573275862,2541551.381607048,1047667.0,3174345.75,5244207.5,7632210.0,9985531.0
dim_sensores.csv,Identificador_Equipo,232.0,548668.2413793104,221324.42856712601,195979.0,355455.0,521462.0,692733.0,965317.0
hechos_fallas.csv,Identificador_Equipo,278.0,546912.5431654677,219325.84276727986,195979.0,355455.0,521462.0,692733.0,965317.0
hechos_fallas.csv,Duracion_Parada_h,278.0,10.092446043165467,4.67172698094,2.1,6.2,9.850000000000001,13.8,22.2
hechos_fallas.csv,Costo_Estimado_Bs,278.0,38893.76611510791,21109.309325549322,7852.11,22790.57,35870.770000000004,50493.675,112793.8
hechos_mediciones_sensores.csv,Identificador_Equipo,141752.0,548668.2413793104,220847.70014771668,195979.0,355455.0,521462.0,692733.0,965317.0
hechos_mediciones_sensores.csv,Identificador_Sensor,141752.0,5384240.573275862,2536076.930454749,1047667.0,3174345.75,5244207.5,7632210.0,9985531.0
hechos_mediciones_sensores.csv,Valor_Medicion,141752.0,2117.469605719849,5237.380908442636,-26.547,2.858,56.158,259.84775,25385.087
observaciones_diarias_equipo.csv,Identificador_Equipo,17719.0,548668.2413793104,220853.15334085037,195979.0,355455.0,521462.0,692733.0,965317.0
observaciones_diarias_equipo.csv,Temperatura_Proceso,17719.0,-3.8721030532197074,11.354903521566095,-26.547,-16.554499999999997,-0.656,4.8245000000000005,15.435
observaciones_diarias_equipo.csv,Vibracion_Equipo,17719.0,2.1723614199446923,0.8722125662160786,0.2,1.562,2.03,2.696,5.983
observaciones_diarias_equipo.csv,Presion_Sistema,17719.0,3.086445397595801,1.136065745544053,1.3,2.29,2.731,3.584,7.288
observaciones_diarias_equipo.csv,Corriente_Motor,17719.0,44.8010009029855,9.613715016145992,24.805,37.876,42.556,49.494,80.34
observaciones_diarias_equipo.csv,Caudal_Proceso,17719.0,85.92034031265872,24.70004793412724,20.696,63.2785,91.687,103.4785,133.699
observaciones_diarias_equipo.csv,Nivel_Sistema,17719.0,72.40526101924488,7.189147222208062,41.457,67.5775,72.854,77.29249999999999,92.194
observaciones_diarias_equipo.csv,Velocidad_Accionamiento,17719.0,1388.4527221062137,286.1531587827849,638.294,1154.5605,1458.048,1625.089,1895.418
observaciones_diarias_equipo.csv,Horas_Operacion,17719.0,15346.790817653367,4214.371850057594,5103.111,12198.1575,15403.376,18427.0615,25385.087
observaciones_diarias_equipo.csv,Falla_En_Los_Siguientes_Siete_Dias,17516.0,0.11109842429778488,0.3142629516162842,0.0,0.0,0.0,0.0,1.0
