y_real,pred_regresion_logistica,proba_regresion_logistica,pred_random_forest,proba_random_forest,pred_xgboost,proba_xgboost
0,0,0.0004876395426067996,0,0.0014906915441761808,0,0.00022258924
0,0,9.77034731471742e-05,0,0.001319157005465008,0,0.00033610966
0,0,0.0001299396461686664,0,0.0015132649076073324,0,0.0002809311
0,0,0.00027069218263192255,0,0.0014706209843663941,0,0.00029659155
0,0,0.00045706896436328474,0,0.0015132649076073324,0,0.00038573123
0,0,0.00016749483287882642,0,0.0020352287318967377,0,0.0005006946
0,0,0.000334517247323481,0,0.0016342625483218587,0,0.00024487215
0,0,0.00015300927459542844,0,0.00046314428703864423,0,0.00018592202
0,0,0.00038402314821082956,0,0.001525567000780204,0,0.00030337574
0,0,0.0006013982813008582,0,0.0014906915441761808,0,0.00032171892
0,0,0.000596336756812298,0,0.00202497069785832,0,0.00023874626
0,0,0.0008406878001671128,0,0.001525567000780204,0,0.0003050408
0,0,0.0020919620620454397,0,0.00202497069785832,0,0.00022815162
0,0,0.003569099176096035,0,0.0014480476209352427,0,0.00022476971
0,0,0.005174853924548706,0,0.017022760264613402,0,0.00048168554
0,0,0.005158578695608263,0,0.016327391144324785,0,0.0011767996
0,0,0.00921150813822144,0,0.0360470738891363,0,0.0011211712
0,0,0.012623233838453467,0,0.028234460611142584,0,0.0006382558
0,0,0.019356970595627264,0,0.07020245179707796,0,0.0006681857
0,0,0.15782286225584963,0,0.042162592562726725,0,0.0009985446
0,0,0.20497148536214366,0,0.15764981014324697,0,0.015654873
1,1,0.5506061776494467,0,0.3971762931632485,0,0.09423509
1,0,0.45482860146192533,0,0.48511169769544,0,0.091593824
1,1,0.6825526543918132,1,0.6654133144427877,0,0.21737993
1,1,0.819767927697692,1,0.7198720921381646,0,0.22023222
1,1,0.8976120862845475,1,0.7658081020291472,0,0.3781732
1,1,0.9584703358672597,1,0.7494901808822928,1,0.9106502
1,1,0.9827259312983013,1,0.7814628317694441,1,0.95207757
0,0,0.0006047386958653718,0,0.054336309347293554,0,0.00034773097
0,0,5.023356310651717e-05,0,0.08670821542791074,0,0.0006167682
0,0,4.754108298179185e-06,0,0.03594457948461677,0,0.00016982463
0,0,5.7082203495230435e-06,0,0.011236668798148164,0,0.00018075299
0,0,1.914423577167614e-06,0,0.0020129906414036473,0,0.000120779485
0,0,1.5420392643819535e-05,0,0.02476799629081228,0,0.0002865359
0,0,0.0001174909336473407,0,0.010470620984366394,0,0.0003133899
0,0,0.0005205471112481527,0,0.018377245682956667,0,0.00060241297
0,0,0.00013069383163892933,0,0.010470620984366394,0,0.00033737728
0,0,0.000247568078428934,0,0.01109018798453041,0,0.0001998642
0,0,0.00026334892228954573,0,0.010548140364211357,0,0.00059772434
0,0,0.0003529236276474511,0,0.018470620984366394,0,0.00048243153
0,0,0.00026914009740079735,0,0.010470620984366394,0,0.0004320996
0,0,0.0004103856451718745,0,0.0015132649076073324,0,0.0006160913
0,0,0.00021708288270353256,0,0.0015132649076073324,0,0.00036082472
0,0,0.0005950886817516625,0,0.0014906915441761808,0,0.00044676976
0,0,0.0008847035286697483,0,0.001525567000780204,0,0.00029233002
0,0,0.001346282697513429,0,0.005573806154849847,0,0.0005704587
0,0,0.0012032351208315032,0,0.0014906915441761808,0,0.00037897195
0,0,0.002398196100753506,0,0.0015682109240211422,0,0.0005023954
0,0,0.0037643883353628287,0,0.0029797346911405527,0,0.0004974128
0,0,0.010511768012042464,0,0.0014480476209352427,0,0.00044147883
0,0,0.004081543139329531,0,0.050816080275082845,0,0.0016625188
0,0,0.02127767702189028,0,0.048293869649143166,0,0.0007416394
0,0,0.00815871743794366,0,0.0040830183514058375,0,0.0003472208
0,0,0.031431266936081094,0,0.061161984194427955,0,0.0025479028
0,0,0.057120767953675655,0,0.16809638645555453,0,0.01608021
0,0,0.11601869460493393,0,0.23110131187784122,0,0.041390546
0,0,0.3225887489015476,0,0.28143197949220716,0,0.024598598
0,0,0.3173972557244567,0,0.3142359253449729,0,0.052135285
1,1,0.7221341905869164,1,0.5392781621943553,0,0.28985965
1,1,0.8732148275714736,0,0.3679982801457608,0,0.14574473
1,1,0.9231057647741444,0,0.4849775636275715,0,0.3531371
1,1,0.917285007647539,1,0.7662338041925528,1,0.6440738
1,1,0.8875418822106731,1,0.7342324957220567,1,0.863923
1,1,0.95697887461556,1,0.8015179662889674,1,0.50322276
1,1,0.9791902252463914,1,0.9312321084651584,1,0.79200536
0,0,0.002026521597001619,0,0.022607145411997705,0,0.00032563414
0,0,1.854266055301049e-05,0,0.029476818288905585,0,0.00038520887
0,0,6.200028085211957e-07,0,0.010641945328176803,0,0.00017218677
0,0,4.2279929033785997e-07,0,0.008379525941005307,0,0.00025195
0,0,2.3072812312994835e-07,0,0.011236668798148164,0,0.0002136507
0,0,1.0337411580464864e-06,0,0.005865980512848914,0,0.0002078605
0,0,0.0009505691994529761,0,0.0015132649076073324,0,0.0008327088
0,0,0.0004654253202129287,0,0.0015481403642113557,0,0.00066645106
0,0,0.001111701565763095,0,0.0015132649076073324,0,0.00066159654
0,0,0.0009841416872487837,0,0.011037074431416856,0,0.0005113949
0,0,0.0012305076864461975,0,0.011037074431416856,0,0.000826612
0,0,0.00201213066375245,0,0.010919316541638241,0,0.0009657817
0,0,0.006086376606461232,0,0.02771604319125639,0,0.001267333
0,0,0.0031794500114172056,0,0.0029596329348461382,0,0.00040292673
0,0,0.00015123591847429418,0,0.0016990864456552213,0,0.00040159645
